epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,514.377,0.80791,0.40679,0.88477,0.99553,0.9943,0.99484,0.81575,0.76723,0.35125,0.89829,0.000968143,0.000968143,0.000968143
135,518.055,0.79957,0.40795,0.88121,0.995,0.99462,0.99479,0.82068,0.74653,0.35387,0.89409,0.000967069,0.000967069,0.000967069
136,521.782,0.79123,0.40808,0.90045,0.99562,0.99609,0.9949,0.82032,0.74831,0.34302,0.89365,0.000965995,0.000965995,0.000965995
137,525.62,0.85354,0.44266,0.92282,0.99147,0.99871,0.99473,0.81666,0.76389,0.34987,0.89982,0.000964921,0.000964921,0.000964921
138,529.376,0.79003,0.41631,0.89024,0.99072,0.99841,0.99485,0.80726,0.77228,0.34916,0.90089,0.000963847,0.000963847,0.000963847
139,533.322,0.81859,0.41349,0.92407,0.98939,0.99808,0.99472,0.81041,0.76451,0.34155,0.89806,0.000962773,0.000962773,0.000962773
140,537.156,0.8229,0.46124,0.89087,0.99146,0.99759,0.99437,0.82011,0.77424,0.35386,0.89812,0.000961699,0.000961699,0.000961699
141,540.84,0.75413,0.40373,0.83311,0.99289,0.99601,0.99488,0.81405,0.76304,0.34866,0.89792,0.000960624,0.000960624,0.000960624
142,544.887,0.81038,0.4218,0.8953,0.98421,0.9938,0.99482,0.80963,0.75757,0.34814,0.89915,0.00095955,0.00095955,0.00095955
143,548.652,0.81374,0.39477,0.88988,0.99205,0.99647,0.99486,0.82331,0.73612,0.33263,0.89052,0.000958476,0.000958476,0.000958476
144,552.666,0.84703,0.41948,0.90391,0.99718,0.99622,0.99428,0.82137,0.75614,0.34998,0.8967,0.000957402,0.000957402,0.000957402
145,556.389,0.8282,0.41953,0.89782,0.99418,0.99656,0.99419,0.81471,0.76403,0.35551,0.89897,0.000956328,0.000956328,0.000956328
146,560.195,0.8141,0.41009,0.91131,0.9903,0.99825,0.99472,0.82433,0.73014,0.34088,0.8901,0.000955254,0.000955254,0.000955254
